FileTitle:,IAS_Spectrum,,151844_M20260202-00081_0_5-1,,
Head:,Reference,Sample,,,
Sample ID,B2500235,,,,
System Temp hundredths:,2495,2507,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,5624,5589,,,
Lamp PD:,92,93,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
1268,0.30218325,2641795.824,1317394.963,,
1269,0.30195833,2648512.162,1321428.402,,
1270,0.30174148,2655081.874,1325367.865,,
1271,0.30153115,2661513.872,1329222.189,,
1272,0.30132583,2667817.069,1333000.208,,
1273,0.30112406,2673998.995,1336709.935,,
1274,0.30092455,2680063.027,1340356.905,,
1275,0.30072603,2686011.76,1343946.188,,
1276,0.30052725,2691847.786,1347482.854,,
1277,0.30032698,2697573.703,1350971.972,,
1278,0.300124,2703192.103,1354418.612,,
1279,0.29991709,2708705.583,1357827.845,,
1280,0.29970507,2714116.736,1361204.74,,
1281,0.29948675,2719428.158,1364554.366,,
1282,0.29926146,2724642.763,1367880.342,,
1283,0.2990303,2729764.556,1371181.329,,
1284,0.29879472,2734797.777,1374454.928,,
1285,0.29855614,2739746.665,1377698.744,,
1286,0.29831601,2744615.457,1380910.379,,
1287,0.29807573,2749408.394,1384087.436,,
1288,0.2978367,2754129.714,1387227.519,,
1289,0.2976003,2758783.656,1390328.23,,
1290,0.29736793,2763374.458,1393387.172,,
1291,0.29714092,2767904.755,1396401.239,,
1292,0.29692048,2772371.545,1399364.829,,
1293,0.2967078,2776770.593,1402271.796,,
1294,0.29650406,2781097.66,1405115.992,,
1295,0.29631043,2785348.511,1407891.27,,
1296,0.29612805,2789518.908,1410591.482,,
1297,0.29595809,2793604.614,1413210.482,,
1298,0.29580168,2797601.393,1415742.121,,
1299,0.29565997,2801505.007,1418180.253,,
1300,0.29553393,2805310.293,1420518.769,,
1301,0.29542402,2809009.036,1422751.696,,
1302,0.29533062,2812592.396,1424873.083,,
1303,0.29525407,2816051.532,1426876.981,,
1304,0.29519474,2819377.604,1428757.444,,
1305,0.29515301,2822561.771,1430508.521,,
1306,0.29512924,2825595.192,1432124.264,,
1307,0.29512382,2828469.026,1433598.724,,
1308,0.29513714,2831174.437,1434925.953,,
1309,0.29516984,2833705.121,1436100.431,,
1310,0.29522333,2836061.955,1437117.845,,
1311,0.29529914,2838247.075,1437974.097,,
1312,0.29539879,2840262.617,1438665.087,,
1313,0.29552385,2842110.721,1439186.717,,
1314,0.29567587,2843793.521,1439534.887,,
1315,0.29585641,2845313.157,1439705.499,,
1316,0.29606706,2846671.763,1439694.453,,
1317,0.29630942,2847871.474,1439497.654,,
