Batch Number,B2600074,,,,,,
Category,Poultry,,,,,,
Specie,Chicken,,,,,,
Family,Layer Baladi,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PPEP250401,,,,,,
Product name,CHICKEN FEED BALADI PRODUCTION 1,,,,,,
NIR-Code,D20260211-00099,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2267,2304,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5181,5163,,,,,
Lamp PD:,92,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1131,0.05681518,1676639.067,1471039.725,2374361,1946475,,
1132,0.05732877,1679035.284,1471401.014,2354474,1930558,,
1133,0.05787815,1681748.817,1471915.856,2354294,1930474,,
1134,0.05847534,1682750.14,1470768.429,2350483,1927091,,
1135,0.05911579,1682439.794,1468330.25,2333006,1911883,,
1136,0.05978651,1682182.172,1465839.837,2338057,1915305,,
1137,0.06048555,1682726.382,1463955.763,2328207,1906217,,
1138,0.06122844,1683965.157,1462529.58,2317458,1896254,,
1139,0.06202594,1685553.238,1461223.116,2308404,1887777,,
1140,0.06285731,1686247.91,1459029.642,2302278,1881379,,
1141,0.06369514,1684606.002,1454799.71,2288859,1869304,,
1142,0.06454329,1681547.217,1449324.984,2280622,1861433,,
1143,0.065434,1680584.098,1445527.142,2268200,1850327,,
1144,0.06638459,1684072.605,1445360.647,2255319,1838962,,
1145,0.06737468,1689454.478,1446677.794,2243414,1827937,,
1146,0.06838312,1693142.696,1446473.377,2230755,1816549,,
1147,0.0694035,1693928.277,1443748.409,2217219,1804079,,
1148,0.07043636,1692571.612,1439165.329,2191676,1782020,,
1149,0.07148567,1690309.733,1433773.738,2186818,1776554,,
1150,0.07256552,1689505.685,1429532.852,2175051,1765069,,
1151,0.07368418,1692385.781,1428286.041,2146301,1740109,,
1152,0.07482603,1697807.726,1429099.541,2140079,1732668,,
1153,0.07596923,1702649.757,1429407.628,2122603,1716201,,
1154,0.0771078,1705303.503,1427887.14,2104949,1699094,,
1155,0.07825219,1707002.326,1425548.26,2089760,1683821,,
1156,0.07940897,1709087.435,1423492.928,2067474,1662297,,
1157,0.08057106,1711617.054,1421790.292,2064554,1656161,,
1158,0.08172776,1714151.096,1420107.885,2060469,1648781,,
1159,0.08287701,1716623.708,1418397.942,2046740,1633261,,
1160,0.08402585,1719429.831,1416963.328,2052358,1632757,,
