Batch Number,B2500391,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040003,,,,,,,
Product name, PETFLAKES Performance - Puppy ,,,,,,,
NIR-Code,M20260202-00085,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1151,0.228761,1997586.681,1179626.796,,,,,
1152,0.22996685,1999938.971,1177741.255,,,,,
1153,0.23119878,2002424.57,1175864.777,,,,,
1154,0.2324539,2005038.602,1174001.992,,,,,
1155,0.23372932,2007776.191,1172157.529,,,,,
1156,0.23502212,2010632.463,1170336.018,,,,,
1157,0.23632939,2013602.542,1168542.088,,,,,
1158,0.23764821,2016681.553,1166780.369,,,,,
1159,0.23897565,2019864.62,1165055.491,,,,,
1160,0.24030877,2023146.869,1163372.084,,,,,
1161,0.24164476,2026523.808,1161734.658,,,,,
1162,0.2429813,2029992.461,1160147.264,,,,,
1163,0.24431619,2033550.227,1158613.836,,,,,
1164,0.24564722,2037194.504,1157138.308,,,,,
1165,0.24697219,2040922.688,1155724.616,,,,,
1166,0.24828888,2044732.179,1154376.694,,,,,
1167,0.24959509,2048620.373,1153098.477,,,,,
1168,0.2508886,2052584.669,1151893.9,,,,,
1169,0.25216722,2056622.465,1150766.897,,,,,
1170,0.25342875,2060731.125,1149721.301,,,,,
1171,0.25467243,2064906.549,1148756.466,,,,,
1172,0.25589939,2069142.629,1147865.6,,,,,
1173,0.25711091,2073433.108,1147041.464,,,,,
1174,0.25830832,2077771.731,1146276.82,,,,,
1175,0.25949296,2082152.245,1145564.428,,,,,
1176,0.26066619,2086568.392,1144897.052,,,,,
1177,0.26182938,2091013.918,1144267.452,,,,,
1178,0.26298394,2095482.569,1143668.389,,,,,
1179,0.26413127,2099968.088,1143092.626,,,,,
1180,0.26527242,2104465.55,1142534.7,,,,,
1181,0.26640563,2108979.293,1142001.522,,,,,
1182,0.26752795,2113517.595,1141505.271,,,,,
1183,0.26863638,2118088.753,1141058.147,,,,,
1184,0.26972792,2122701.059,1140672.346,,,,,
1185,0.27079956,2127362.808,1140360.068,,,,,
1186,0.27184825,2132082.295,1140133.509,,,,,
1187,0.27287095,2136867.815,1140004.869,,,,,
1188,0.2738646,2141727.661,1139986.346,,,,,
1189,0.27482613,2146670.08,1140090.093,,,,,
1190,0.275753,2151700.17,1140325.293,,,,,
1191,0.27664344,2156817.952,1140696.342,,,,,
1192,0.2774958,2162022.989,1141207.205,,,,,
1193,0.27830844,2167314.844,1141861.844,,,,,
1194,0.27907975,2172693.078,1142664.223,,,,,
1195,0.27980813,2178157.254,1143618.307,,,,,
1196,0.28049203,2183706.936,1144728.057,,,,,
1197,0.2811299,2189341.684,1145997.439,,,,,
1198,0.28172025,2195061.062,1147430.415,,,,,
1199,0.28226131,2200864.204,1149031.519,,,,,
1200,0.2827496,2206747.757,1150808.581,,,,,
1201,0.28318111,2212707.479,1152770.617,,,,,
1202,0.28355184,2218739.125,1154926.645,,,,,
1203,0.2838579,2224838.45,1157285.681,,,,,
1204,0.28409545,2231001.21,1159856.743,,,,,
1205,0.28426074,2237223.16,1162648.847,,,,,
1206,0.28435009,2243500.056,1165671.01,,,,,
