Batch Number,B2600074,,,,,
Category,Poultry,,,,,
Specie,Chicken,,,,,
Family,Layer Baladi,,,,,
Brand,FARMFLAKES,,,,,
Product Code,PPEP250401,,,,,
Product name,CHICKEN FEED BALADI PRODUCTION 1,,,,,
NIR-Code,D20260211-00099,,,,,
Serial Number:,5B25203,,,,,
Scan Config Name:,IAS5100,,,,,
Scan Config Type:,2,,,,,
Start wavelength in nm:,900,,,,,
End wavelength in nm:,1700,,,,,
Pattern Pixel Width:,11,,,,,
Exposure Time:,0,,,,,
Measurement points:,420,,,,,
Number of Measurement points:,801,,,,,
Num Repeats:,90,90,,,,
PGA Gain:,64,64,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,
1162,0.08499041,1726716.878,1419811.62,2034277,1613065,
1163,0.08609621,1730646.031,1419423.669,2023939,1599088,
1164,0.08716142,1734218.122,1418868.987,2016018,1586508,
1165,0.0882135,1736928.747,1417648.29,2000511,1568229,
1166,0.08927454,1738826.782,1415734.399,1990147,1554186,
1167,0.0903486,1741258.181,1414212.175,1976709,1537926,
1168,0.0914316,1745472.919,1414104.547,1961900,1521424,
1169,0.09250045,1750501.892,1414692.762,1949339,1507255,
1170,0.09352808,1754356.011,1414456.664,1936650,1493713,
1171,0.09451225,1756519.51,1412995.336,1923796,1480830,
1172,0.09547846,1758507.201,1411450.633,1902114,1462396,
1173,0.09644569,1761610.392,1410795.85,1898607,1458729,
1174,0.09740965,1765560.288,1410824.206,1889118,1451270,
1175,0.0983615,1769714.257,1411047.554,1867952,1435861,
1176,0.09929391,1773996.245,1411428.2,1865262,1435527,
1177,0.10019959,1778773.456,1412280.784,1853865,1429201,
1178,0.10107524,1783717.74,1413353.809,1841998,1423274,
1179,0.10192931,1786934.419,1413120.863,1831471,1419140,
1180,0.10277364,1786902.702,1410351.177,1813705,1410309,
1181,0.10360872,1786171.878,1407066.176,1809243,1411834,
1182,0.10442373,1788907.714,1406579.243,1802299,1412167,
1183,0.10521323,1795649.131,1409315.559,1787059,1406270,
1184,0.10598812,1802662.522,1412297.901,1787169,1412806,
1185,0.10675631,1806972.046,1413172.321,1777749,1412056,
1186,0.10749436,1808941.067,1412310.072,1767263,1410913,
1187,0.10817463,1809698.232,1410689.806,1758549,1411431,
1188,0.10881549,1811134.31,1409727.486,1753145,1414729,
1189,0.10946121,1815573.044,1411082.851,1742019,1414053,
1190,0.1101199,1823272.871,1414919.615,1736517,1417944,
1191,0.11074708,1831155.219,1418985.892,1728331,1419643,
1192,0.1113073,1836595.635,1421367.053,1719415,1421328,
1193,0.11180854,1840450.142,1422707.151,1713106,1425016,
1194,0.11226802,1844506.481,1424335.075,1707283,1429303,
1195,0.11268985,1849487.626,1426795.008,1701576,1433684,
1196,0.11306898,1855273.672,1430009.76,1689933,1432885,
1197,0.11340295,1861114.179,1433408.792,1692846,1443708,
1198,0.11369534,1865020.867,1435450.945,1691413,1450783,
1199,0.11395042,1865649.575,1435091.706,1680564,1449121,
1200,0.11416634,1866257.603,1434845.878,1685721,1460709,
1201,0.11433712,1871514.798,1438322.087,1684093,1465902,
1202,0.11445595,1881202.015,1445371.493,1682192,1470230,
1203,0.11451742,1890537.306,1452338.432,1682055,1475474,
1204,0.11452064,1896156.015,1456644.014,1676338,1474923,
1205,0.11447284,1898473.779,1458585.061,1681563,1483098,
1206,0.11438154,1898724.039,1459084.054,1685218,1489476,
1207,0.11425133,1899930.345,1460448.829,1682330,1489324,
1208,0.11408606,1905679.572,1465425.762,1693506,1500949,
1209,0.11387824,1915553.255,1473723.439,1697263,1505471,
1210,0.11360734,1925040.353,1481946.416,1700678,1509247,
1211,0.11326227,1931237.465,1487898.853,1705977,1514576,
1212,0.11286112,1935807.735,1492798.206,1712936,1521200,
1213,0.11242493,1940846.351,1498187.684,1717999,1525532,
1214,0.11195616,1946465.135,1504147.659,1726946,1533520,
1215,0.11144893,1951956.389,1510153.793,1733369,1539114,
1216,0.11090521,1957227.47,1516128.773,1739243,1544071,
1217,0.11033571,1962825.894,1522460.622,1746606,1550400,
1218,0.1097446,1969067.406,1529382.016,1754488,1556682,
1219,0.10911761,1975609.641,1536680.307,1762395,1562978,
1220,0.10844184,1982000.27,1544051.826,1763431,1562985,
1221,0.10773355,1987733.166,1551045.502,1779152,1575958,
1222,0.10701926,1992330.027,1557191.483,1791018,1585411,
1223,0.10630851,1996412.886,1562938.389,1791816,1584747,
1224,0.10559646,2001674.029,1569628.583,1809278,1598845,
1225,0.10487863,2008683.011,1577730.336,1819210,1605952,
1226,0.10414701,2015324.351,1585615.714,1828413,1612489,
1227,0.10339519,2019612.571,1591742.737,1838216,1619400,
1228,0.10264585,2022540.807,1596803.361,1840930,1620115,
1229,0.10193292,2026099.164,1602240.761,1855884,1631240,
1230,0.10125796,2030698.828,1608375.919,1867899,1640110,
1231,0.10059299,2035398.881,1614568.765,1869818,1639850,
1232,0.09992059,2039741.962,1620520.897,1887928,1654150,
1233,0.09924748,2044302.222,1626663.121,1895912,1659445,
1234,0.09858484,2049257.892,1633096.218,1902630,1663635,
1235,0.09794794,2052313.412,1637931.52,1910622,1668813,
1236,0.09734896,2050822.391,1639000.506,1918952,1674330,
1237,0.09678394,2047261.635,1638284.835,1925711,1678449,
1238,0.09624351,2047642.928,1640630.244,1935617,1685150,
1239,0.09572574,2053746.739,1647483.794,1942835,1689434,
1240,0.09523055,2060642.291,1654901.148,1949303,1692920,
1241,0.09475224,2064116.573,1659518.047,1956742,1697345,
1242,0.09427991,2064687.926,1661783.77,1964238,1701496,
1243,0.09380543,2064065.992,1663099.183,1970527,1704764,
1244,0.0933431,2065013.525,1665634.868,1966986,1699448,
1245,0.09292008,2070745.653,1671886.08,1980646,1708857,
1246,0.09254266,2080929.046,1681568.681,1988491,1713300,
1247,0.09218896,2091070.748,1691140.799,1982118,1705636,
1248,0.09184213,2098227.032,1698284.126,1995726,1715380,
1249,0.09150863,2104081.569,1704330.977,1999655,1716405,
1250,0.0911975,2110784.235,1710985.562,2001993,1716364,
1251,0.09090302,2118801.571,1718649.297,2004444,1716770,
1252,0.0906144,2127870.5,1727152.918,1997246,1708886,
1253,0.09033177,2136222.979,1735061.259,2004334,1713108,
1254,0.09006318,2140879.706,1739919.209,2007682,1714457,
1255,0.08981429,2142173.935,1741969.079,1998432,1705256,
1256,0.08958955,2146333.589,1746255.031,2007215,1711596,
1257,0.08939124,2157819.374,1756401.707,2003380,1707132,
1258,0.08920404,2171744.547,1768498.528,1997246,1701199,
1259,0.08900883,2181493.245,1777235.749,1991532,1695684,
1260,0.08880866,2185940.544,1781679.905,1985263,1690057,
1261,0.08861929,2187032.107,1783347.036,1977205,1683248,
1262,0.08844634,2187912.5,1784775.542,1972192,1679235,
1263,0.08828402,2193056.868,1789640.81,1964622,1673304,
1264,0.08813014,2204186.563,1799360.595,1956756,1667614,
1265,0.08798967,2216199.861,1809752.792,1949824,1662816,
1266,0.08786507,2224113.195,1816735.971,1942716,1657946,
1267,0.08774764,2229045.696,1821257.402,1934485,1652697,
1268,0.08762642,2234004.025,1825818.215,1914722,1637611,
1269,0.08749941,2239737.964,1831039.891,1912729,1637530,
1270,0.0873706,2245398.114,1836211.735,1903231,1630935,
1271,0.08724559,2250626.842,1841017.461,1876387,1609526,
1272,0.08713237,2255824.369,1845750.148,1867429,1603276,
1273,0.08703393,2261338.958,1850681.722,1845980,1585777,
1274,0.08693758,2267184.813,1855877.664,1820139,1564402,
1275,0.08683037,2273221.449,1861278.551,1792188,1540898,
1276,0.08671633,2278692.961,1866248.539,1753170,1507585,
1277,0.08660564,2282688.396,1869997.356,1726477,1484426,
1278,0.08649955,2285944.219,1873122.066,1695510,1457254,
1279,0.08639229,2290546.33,1877356.683,1652085,1419425,
1280,0.08627916,2296889.861,1883046.368,1623789,1394259,
1281,0.08615685,2302512.836,1888187.917,1583224,1358311,
1282,0.08602389,2305655.417,1891343.925,1539264,1319407,
1283,0.08588623,2307867.609,1893758.808,1493039,1278352,
