Batch Number,B2600092,,,,,,
Category,Livestock,,,,,,
Specie,Horse,,,,,,
Family,Pleasure,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PHRS250801,,,,,,
Product name,HORSE FEED - SPORT HORSE - 25KG,,,,,,
NIR-Code,D20260216-00112,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2102,2332,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4778,4172,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1107,0.08591543,1721456.181,1412474.254,2331664,1666574,,
1108,0.0858891,1717973.626,1409702.241,2329640,1675308,,
1109,0.08586663,1715552.052,1407788.027,2346729,1697896,,
1110,0.0858514,1713819.688,1406415.764,2360861,1718746,,
1111,0.08585064,1711801.273,1404761.847,2359282,1727863,,
1112,0.08586728,1709021.182,1402426.68,2380804,1753798,,
1113,0.08589537,1706034.55,1399885.304,2386107,1767964,,
1114,0.08592815,1703465.16,1397671.5,2390517,1780996,,
1115,0.0859621,1701391.513,1395860.95,2395537,1793937,,
1116,0.0859956,1699590.357,1394275.685,2402404,1807985,,
1117,0.08603416,1697979.952,1392830.912,2402512,1816548,,
1118,0.0860984,1696785.024,1391644.872,2407968,1828505,,
1119,0.08620768,1696152.758,1390776.319,2408277,1835963,,
1120,0.0863506,1695108.39,1389462.631,2407635,1842028,,
1121,0.08649907,1692060.116,1386489.937,2407956,1848177,,
1122,0.08664124,1686874.014,1381787.973,2407694,1853251,,
1123,0.08679833,1682446.666,1377662.934,2406575,1856918,,
1124,0.08699237,1681625.546,1376375.475,2391369,1849094,,
1125,0.08722296,1683424.061,1377116.142,2400691,1859523,,
1126,0.08747912,1684832.505,1377455.608,2402427,1863529,,
1127,0.08775346,1684060.166,1375954.717,2384749,1851989,,
1128,0.08804313,1681678.89,1373092.969,2392584,1859588,,
1129,0.08834656,1678588.054,1369612.055,2387673,1857072,,
1130,0.08867163,1676176.121,1366620.768,2380406,1852223,,
