Batch Number,B2500166,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040021,,,,,,,
Product name,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,,,,,,,
NIR-Code,M20260202-00080,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2493,2557,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5481,5420,,,,,,
Lamp PD:,91,92,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1037,0.2850144,2305554.054,1196081.873,,,,,
1038,0.28477793,2302242.649,1195014.484,,,,,
1039,0.28454238,2298875.933,1193914.304,,,,,
1040,0.28430771,2295459.357,1192784.26,,,,,
1041,0.28407384,2291998.711,1191627.523,,,,,
1042,0.28384071,2288499.785,1190447.266,,,,,
1043,0.28360825,2284968.371,1189246.66,,,,,
1044,0.28337639,2281410.258,1188028.877,,,,,
1045,0.28314507,2277831.238,1186797.089,,,,,
1046,0.28291423,2274237.101,1185554.468,,,,,
1047,0.2826838,2270633.636,1184304.185,,,,,
1048,0.28245374,2267026.636,1183049.412,,,,,
1049,0.28222398,2263421.849,1181793.301,,,,,
1050,0.28199446,2259820.534,1180536.705,,,,,
1051,0.28176506,2256215.463,1179276.142,,,,,
1052,0.28153567,2252598.467,1178007.647,,,,,
1053,0.28130618,2248961.376,1176727.254,,,,,
1054,0.28107647,2245296.022,1175430.998,,,,,
1055,0.2808464,2241594.235,1174114.914,,,,,
1056,0.28061584,2237847.845,1172775.038,,,,,
1057,0.28038467,2234048.683,1171407.403,,,,,
1058,0.28015274,2230188.579,1170008.045,,,,,
1059,0.27991991,2226259.365,1168572.999,,,,,
1060,0.27968605,2222253.471,1167098.59,,,,,
1061,0.27945112,2218170.446,1165584.582,,,,,
1062,0.27921517,2214014.5,1164032.994,,,,,
1063,0.27897825,2209789.922,1162445.879,,,,,
1064,0.2787404,2205501.003,1160825.296,,,,,
1065,0.27850167,2201152.032,1159173.299,,,,,
1066,0.27826212,2196747.301,1157491.944,,,,,
1067,0.27802181,2192291.098,1155783.288,,,,,
1068,0.27778078,2187787.715,1154049.386,,,,,
1069,0.27753911,2183241.44,1152292.295,,,,,
1070,0.27729684,2178656.567,1150514.07,,,,,
1071,0.27705419,2174038.197,1148716.811,,,,,
1072,0.27681173,2169393.381,1146902.72,,,,,
1073,0.27657007,2164729.457,1145074.015,,,,,
1074,0.27632984,2160053.762,1143232.915,,,,,
1075,0.27609168,2155373.633,1141381.638,,,,,
1076,0.27585624,2150696.41,1139522.4,,,,,
1077,0.27562417,2146029.429,1137657.422,,,,,
1078,0.27539612,2141380.027,1135788.92,,,,,
1079,0.27517276,2136755.544,1133919.112,,,,,
1080,0.27495477,2132163.316,1132050.217,,,,,
1081,0.27474278,2127610.245,1130184.363,,,,,
1082,0.274537,2123099.918,1128322.993,,,,,
1083,0.27433745,2118634.392,1126467.237,,,,,
1084,0.27414418,2114215.717,1124618.22,,,,,
1085,0.27395721,2109845.943,1122777.07,,,,,
1086,0.27377657,2105527.121,1120944.914,,,,,
1087,0.27360229,2101261.3,1119122.878,,,,,
1088,0.2734344,2097050.531,1117312.09,,,,,
1089,0.27327293,2092896.864,1115513.676,,,,,
1090,0.27311791,2088802.348,1113728.764,,,,,
1091,0.27296938,2084768.952,1111958.429,,,,,
1092,0.27282742,2080796.818,1110202.635,,,,,
1093,0.27269218,2076884.309,1108460.261,,,,,
1094,0.27256379,2073029.711,1106730.138,,,,,
1095,0.2724424,2069231.314,1105011.1,,,,,
1096,0.27232815,2065487.405,1103301.977,,,,,
1097,0.27222119,2061796.272,1101601.604,,,,,
1098,0.27212165,2058156.202,1099908.811,,,,,
1099,0.27202968,2054565.485,1098222.432,,,,,
1100,0.27194541,2051022.407,1096541.299,,,,,
1101,0.27186899,2047525.28,1094864.258,,,,,
1102,0.27180056,2044073.928,1093190.975,,,,,
1103,0.27174024,2040670.578,1091522.426,,,,,
1104,0.27168816,2037317.668,1089859.702,,,,,
1105,0.27164444,2034017.636,1088203.891,,,,,
1106,0.27160922,2030772.921,1086556.086,,,,,
1107,0.27158261,2027585.963,1084917.375,,,,,
1108,0.27156476,2024459.199,1083288.849,,,,,
