Batch Number,B2600082,,,,,,,
Category,Poultry,,,,,,,
Specie,Chicken,,,,,,,
Family,Layer Baladi,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PPEG250201 ,,,,,,,
Product name, CHICKEN FEED - BALADI GROWER 1,,,,,,,
NIR-Code,D20260211-00103,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2325,2482,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,4936,4588,,,,,,
Lamp PD:,93,94,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1107,0.0394933,1722528.603,1572798.693,2331538,1793048,,,
1108,0.03952772,1719063.165,1569510.112,2329577,1802932,,,
1109,0.03955168,1716662.662,1567231.96,2346510,1827813,,,
1110,0.03956684,1714947.549,1565611.482,2360700,1850728,,,
1111,0.03958971,1712938.55,1563695.108,2359253,1861266,,,
1112,0.03963041,1710156.26,1561008.928,2380800,1889617,,,
1113,0.03968563,1707152.428,1558068.927,2386080,1905426,,,
1114,0.03975067,1704548.291,1555459.239,2390549,1919948,,,
1115,0.03982401,1702427.326,1553261.482,2395393,1934421,,,
1116,0.03990596,1700575.427,1551279.105,2402312,1950154,,,
1117,0.04000031,1698919.06,1549431.498,2402613,1959780,,,
1118,0.0401181,1697689.08,1547889.85,2407981,1973161,,,
1119,0.04026971,1697037.092,1546755.334,2408330,1981617,,,
1120,0.04045074,1695978.903,1545146.642,2407738,1988675,,,
1121,0.04064911,1692905.632,1541642.368,2408054,1995786,,,
1122,0.04086082,1687681.43,1536135.95,2407802,2001761,,,
1123,0.04109697,1683232.451,1531253.611,2406957,2006351,,,
1124,0.04136756,1682432.554,1529572.642,2391831,1998475,,,
1125,0.04166854,1684257.494,1530170.932,2401048,2010310,,,
1126,0.04199044,1685626.409,1530279.948,2402852,2015227,,,
1127,0.04233483,1684730.803,1528254.5,2385190,2003216,,,
1128,0.04272126,1682227.21,1524626.252,2393218,2012032,,,
1129,0.04316798,1679098.931,1520226.517,2388339,2009593,,,
1130,0.04366986,1676721.015,1516320.304,2381084,2005056,,,
1131,0.04420921,1676636.143,1514361.696,2374285,2000288,,,
1132,0.04477344,1679004.49,1514531.883,2354783,1983925,,,
1133,0.04536275,1681678.113,1514886.577,2354314,1983728,,,
1134,0.04598222,1682654.688,1513605.786,2350710,1980332,,,
1135,0.04664286,1682318.484,1511003.095,2333325,1964847,,,
1136,0.04735587,1682000.945,1508239.693,2338441,1968395,,,
1137,0.04811915,1682454.734,1505997.472,2328689,1959245,,,
1138,0.04891401,1683626.804,1504290.867,2318100,1949055,,,
1139,0.04972383,1685215.212,1502905.034,2308978,1940257,,,
1140,0.05054934,1685945.582,1500701.146,2302786,1933844,,,
1141,0.05139939,1684320.289,1496322.784,2289407,1921661,,,
1142,0.05228536,1681236.866,1490539.689,2281367,1913769,,,
1143,0.05321476,1680221.112,1486454.704,2269072,1902554,,,
1144,0.05418601,1683645.976,1486157.271,2256288,1890846,,,
1145,0.05519053,1688977.51,1487419.034,2244235,1879708,,,
