Batch Number,B2600079,,,,,,,
Category,Poultry,,,,,,,
Specie,Chicken,,,,,,,
Family,Layer Baladi,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PPEP250401,,,,,,,
Product name,CHICKEN FEED - BALADI PRODUCTION 1,,,,,,,
NIR-Code,D20260211-00101,,,,,,,
,,,,,,,,
,,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2378,2500,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5041,4625,,,,,,
Lamp PD:,94,93,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
1181,0.10049385,1785225.749,1416443.62,1808384,1421987,,,
1182,0.10124996,1787920.329,1416113.961,1801401,1422026,,,
1183,0.10200436,1794702.05,1419018.301,1786077,1415734,,,
1184,0.10274799,1801766.54,1422166.766,1786335,1421907,,,
1185,0.10347595,1806088.01,1423190.249,1776652,1420735,,,
1186,0.10418125,1808069.141,1422439.441,1766284,1419049,,,
1187,0.10485549,1808888.881,1420876.737,1757619,1418735,,,
1188,0.10549999,1810406.817,1419960.255,1752033,1421663,,,
1189,0.10612033,1814866.897,1421426.62,1741098,1420256,,,
1190,0.10671556,1822514.286,1425461.137,1735611,1423605,,,
1191,0.10727963,1830365.412,1429743.63,1727157,1424851,,,
1192,0.1078086,1835869.112,1432297.097,1718561,1425935,,,
1193,0.10829404,1839809.653,1433767.889,1712144,1428874,,,
1194,0.10872573,1843869.198,1435503.913,1706229,1432671,,,
1195,0.1091161,1848787.08,1438039.448,1700645,1436633,,,
1196,0.109496,1854555.327,1441264.831,1688950,1434914,,,
1197,0.10987299,1860471.881,1444608.356,1692048,1445646,,,
1198,0.1102073,1864462.122,1446592.691,1690721,1451990,,,
1199,0.11046304,1865099.815,1446235.568,1679710,1450322,,,
1200,0.11065105,1865679.73,1446059.103,1685018,1461496,,,
1201,0.11079625,1870948.382,1449658.001,1683340,1466270,,,
1202,0.11090508,1880687.177,1456838.732,1681463,1470397,,,
1203,0.11096864,1890043.74,1463872.364,1681540,1475311,,,
1204,0.11098419,1895626.889,1468144.056,1675726,1474530,,,
1205,0.11096259,1897936.438,1470005.88,1680979,1482599,,,
1206,0.1109134,1898282.997,1470440.857,1684790,1488832,,,
1207,0.110827,1899613.792,1471764.466,1681903,1488492,,,
1208,0.11068704,1905382.212,1476709.479,1693144,1499986,,,
1209,0.11048649,1915167.748,1484979.052,1696756,1504511,,,
1210,0.11022625,1924591.721,1493180.694,1700291,1508402,,,
1211,0.10991025,1930825.799,1499107.73,1705650,1513775,,,
1212,0.10955341,1935446.767,1503930.689,1712717,1520239,,,
1213,0.10917106,1940460.678,1509154.794,1717499,1524728,,,
1214,0.10876249,1946047.44,1514924.315,1726614,1532804,,,
1215,0.10831969,1951627.985,1520818.364,1732912,1538294,,,
1216,0.10783543,1957080.797,1526768.989,1738860,1543352,,,
1217,0.1073038,1962761.255,1533075.953,1746351,1549616,,,
1218,0.10672523,1968889.02,1539912.364,1754395,1556353,,,
1219,0.10611462,1975286.482,1547089.604,1762036,1562578,,,
1220,0.10548737,1981674.939,1554336.503,1763243,1562808,,,
1221,0.10484979,1987511.233,1561204.533,1778771,1575786,,,
1222,0.10420383,1992197.308,1567214.778,1790836,1585434,,,
1223,0.10354967,1996315.188,1572821.514,1791517,1584947,,,
1224,0.10288768,2001595.258,1579387.072,1809107,1599368,,,
1225,0.10222191,2008636.747,1587374.836,1818827,1606570,,,
1226,0.10155939,2015326.984,1595093.437,1828003,1613130,,,
1227,0.10090316,2019674.072,1600951.331,1837937,1620210,,,
1228,0.10024696,2022632.571,1605720.818,1840505,1620953,,,
1229,0.09958428,2026146.367,1610966.581,1855401,1632486,,,
1230,0.09891996,2030652.794,1617021.196,1867341,1641464,,,
1231,0.09826632,2035298.848,1623161.982,1869326,1641542,,,
1232,0.09763211,2039673.666,1629028.098,1887445,1656001,,,
1233,0.09702078,2044312.974,1635033.326,1895386,1661444,,,
1234,0.09643482,2049350.025,1641274.878,1902084,1665916,,,
1235,0.09587131,2052460.028,1645899.838,1910022,1671408,,,
1236,0.09532315,2050974.11,1646785.466,1918307,1677166,,,
1237,0.09478404,2047373.272,1645936.171,1925000,1681487,,,
1238,0.09425375,2047692.15,1648203.82,1934863,1688503,,,
1239,0.09374061,2053727.345,1655015.936,1942029,1693086,,,
1240,0.09325634,2060553.128,1662369.172,1948344,1696894,,,
