Batch Number,B2600073,,,,,,,
Category,Poultry,,,,,,,
Specie,Bird,,,,,,,
Family,Quail,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PQPL250201,,,,,,,
Product name,QUAIL FEED - LAYER,,,,,,,
NIR-Code,D20260211-00098,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2177,2216,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5540,5416,,,,,,
Lamp PD:,92,93,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1226,0.11890167,2015957.74,1533132.741,1828928,1561388,,,
1227,0.11817287,2020199.162,1538938.701,1839001,1568331,,,
1228,0.11742952,2023049.984,1543750.449,1841450,1569006,,,
1229,0.11671816,2026580.63,1548979.707,1856225,1580029,,,
1230,0.11604864,2031218.08,1554919.519,1868231,1588699,,,
1231,0.11539744,2035981.882,1560904.986,1870234,1588680,,,
1232,0.11474862,2040383.598,1566618.34,1888364,1602532,,,
1233,0.11410487,2044986.356,1572481.504,1896228,1607703,,,
1234,0.11347373,2049964.763,1578602.051,1903009,1612088,,,
1235,0.11287139,2053043.977,1583167.499,1910695,1617122,,,
1236,0.11231173,2051601.992,1584095.588,1919105,1622530,,,
1237,0.1117826,2048092.38,1583313.586,1925652,1626633,,,
1238,0.11125926,2048470.963,1585515.72,1935762,1633354,,,
1239,0.11073519,2054509.292,1592109.466,1942827,1637687,,,
1240,0.11022325,2061342.081,1599288.532,1949304,1641438,,,
1241,0.10973317,2064809.875,1603787.781,1956710,1645759,,,
1242,0.10927376,2065417.652,1605957.799,1963999,1650081,,,
1243,0.10885253,2064847.361,1607072.344,1970527,1653308,,,
1244,0.10845281,2065842.346,1609327.253,1966797,1648226,,,
1245,0.10804739,2071603.291,1615322.365,1980395,1657511,,,
1246,0.10763953,2081798.642,1624797.292,1988371,1662020,,,
1247,0.10726375,2091956.129,1634138.36,1981972,1654687,,,
1248,0.10693523,2099135.743,1640987.567,1995554,1664373,,,
1249,0.10662392,2104978.112,1646734.795,1999491,1665587,,,
1250,0.10630209,2111598.718,1653138.709,2001729,1665871,,,
1251,0.10598995,2119528.986,1660540.248,2004440,1666389,,,
1252,0.10572281,2128602.585,1668675.076,1997248,1658881,,,
1253,0.10549728,2137048.765,1676166.5,2004318,1663350,,,
1254,0.10527799,2141803.2,1680744.026,2007660,1664914,,,
1255,0.10504419,2143146.889,1682704.067,1998572,1656188,,,
1256,0.10480477,2147317.578,1686908.425,2007313,1662518,,,
1257,0.10457343,2158794.532,1696828.241,2003689,1658558,,,
1258,0.10436108,2172719.168,1708608.331,1997514,1652890,,,
1259,0.104174,2182501.293,1717040.386,1991609,1647665,,,
1260,0.1040065,2186995.538,1721239.883,1985652,1642526,,,
1261,0.10384785,2188102.965,1722740.659,1977505,1636080,,,
1262,0.10369238,2188962.273,1724034.278,1972525,1632369,,,
1263,0.10354041,2194087.458,1728675.676,1965047,1626895,,,
1264,0.10339537,2205225.211,1738031.224,1957135,1621467,,,
1265,0.1032644,2217260.598,1748043.908,1950209,1617092,,,
1266,0.10315061,2225190.267,1754755.214,1942967,1612647,,,
1267,0.10303991,2230108.815,1759082.232,1934777,1607581,,,
1268,0.10291497,2235002.054,1763449.2,1915169,1592982,,,
1269,0.1027811,2240669.388,1768465.842,1913076,1592967,,,
1270,0.1026589,2246359.273,1773455.597,1903490,1586859,,,
1271,0.1025547,2251713.71,1778109.394,1876830,1566100,,,
1272,0.10245438,2256989.596,1782687.328,1867832,1560086,,,
1273,0.10234805,2262440.3,1787430.136,1846389,1543423,,,
1274,0.1022428,2268164.581,1792386.933,1820361,1522697,,,
1275,0.10214648,2274123.717,1797494.668,1792474,1499874,,,
1276,0.10205148,2279553.37,1802180.511,1753545,1467611,,,
1277,0.10194467,2283492.255,1805738.553,1726935,1445131,,,
1278,0.10182755,2286682.469,1808749.021,1695833,1418898,,,
