Batch Number,B2500392,,,,,,
Category,Pet Food,,,,,,
Specie,Dog,,,,,,
Family,Healthcare,,,,,,
Brand,PETFLAKES,,,,,,
Product Code,DDF040021,,,,,,
Product name,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,,,,,,
NIR-Code,M20260202-00082,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2470,2540,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5563,5430,,,,,
Lamp PD:,93,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,13,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,105,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1236,0.3026018,2422457.81,1206853.132,,,,
1237,0.30122739,2426016.734,1212457.164,,,,
1238,0.29991362,2429486.713,1217869.931,,,,
1239,0.29865847,2432967.803,1223144.852,,,,
1240,0.29746017,2436560.06,1228335.348,,,,
1241,0.29631719,2440363.538,1233494.839,,,,
1242,0.2952282,2444478.294,1238676.746,,,,
1243,0.29419205,2449004.381,1243934.488,,,,
1244,0.29320776,2454041.856,1249321.485,,,,
1245,0.29227445,2459688.318,1254889.919,,,,
1246,0.2913912,2465964.887,1260653.36,,,,
1247,0.29055686,2472803.084,1266580.147,,,,
1248,0.28977011,2480129.329,1272636.045,,,,
1249,0.28902954,2487870.045,1278786.82,,,,
1250,0.28833364,2495951.653,1284998.235,,,,
1251,0.28768081,2504300.575,1291236.055,,,,
1252,0.28706939,2512843.233,1297466.047,,,,
1253,0.28649768,2521506.048,1303653.973,,,,
1254,0.28596392,2530215.641,1309765.709,,,,
1255,0.28546618,2538915.852,1315776.511,,,,
1256,0.28500226,2547580.819,1321678.152,,,,
1257,0.28456997,2556187.76,1327464.079,,,,
