Batch Number,B2500406,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF100001,,,,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,,,,
NIR-Code,M20260202-00092,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2487,2548,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5024,5008,,,,,,
Lamp PD:,93,92,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1028,0.25432257,2330173.017,1297375.214,,,,,
1029,0.25406924,2327559.288,1296676.13,,,,,
1030,0.25381591,2324855.911,1295925.799,,,,,
1031,0.25356274,2322066.128,1295125.467,,,,,
1032,0.2533099,2319193.18,1294276.379,,,,,
1033,0.25305755,2316240.307,1293379.783,,,,,
1034,0.25280584,2313210.752,1292436.925,,,,,
1035,0.25255496,2310107.754,1291449.05,,,,,
1036,0.25230506,2306934.555,1290417.405,,,,,
1037,0.25205632,2303694.396,1289343.237,,,,,
1038,0.25180891,2300390.519,1288227.79,,,,,
1039,0.25156296,2297026.721,1287072.716,,,,,
1040,0.25131851,2293609.204,1285881.403,,,,,
1041,0.25107552,2290144.821,1284657.71,,,,,
1042,0.25083398,2286640.421,1283405.495,,,,,
1043,0.25059388,2283102.855,1282128.617,,,,,
1044,0.25035521,2279538.974,1280830.936,,,,,
1045,0.25011797,2275955.63,1279516.309,,,,,
1046,0.24988214,2272359.673,1278188.595,,,,,
1047,0.24964772,2268757.954,1276851.654,,,,,
1048,0.24941473,2265157.323,1275509.343,,,,,
1049,0.24918315,2261564.584,1274165.499,,,,,
