Batch Number,B2600081,,,,,,
Category,Livestock,,,,,,
Specie,Cattle,,,,,,
Family,Dairy,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PFDP010802,,,,,,
Product name,FARHAT FEED - DAIRY PRODUCTION COW,,,,,,
NIR-Code,D20260211-00102,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2399,2523,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4610,4543,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1067,0.11506168,1856687.254,1424547.976,1957718,834532,,
1068,0.11490041,1849998.177,1419942.937,1963786,843388,,
1069,0.11474343,1843930.916,1415797.744,1966225,851641,,
1070,0.11458812,1840048.574,1413322.163,1971731,862290,,
1071,0.11443185,1838870.109,1412925.321,1974368,872698,,
1072,0.11427076,1838398.084,1413086.654,1976021,884053,,
1073,0.1141008,1836376.679,1412085.407,1978388,896851,,
1074,0.11392927,1832474.206,1409641.257,1980232,910810,,
1075,0.11377379,1827971.715,1406681.203,1981564,925727,,
1076,0.11364585,1823978.243,1404021.633,1969823,935846,,
1077,0.1135262,1820628.195,1401829.062,1980734,957674,,
1078,0.11338739,1817777.119,1400081.256,1985367,977625,,
1079,0.11322477,1814773.4,1398291.245,1973331,990536,,
1080,0.11306518,1810264.384,1395329.669,1984204,1015354,,
1081,0.11293313,1803237.635,1390336.217,1985412,1036398,,
1082,0.11281955,1795664.67,1384859.418,1985874,1057259,,
1083,0.11270044,1790879.741,1381548.03,1988845,1079594,,
1084,0.11256629,1790237.809,1381479.455,1982276,1096832,,
1085,0.11243791,1790794.254,1382317.437,1995287,1124532,,
1086,0.11233691,1789236.371,1381436.115,2008182,1151697,,
1087,0.11225643,1784758.775,1378234.444,2009880,1172305,,
1088,0.11217009,1778304.341,1373523.199,2034248,1204875,,
1089,0.11205985,1771078.619,1368289.494,2047073,1230045,,
1090,0.11193643,1765023.505,1363999.051,2061249,1255079,,
1091,0.11181692,1762123.194,1362132.48,2078521,1280973,,
1092,0.11171522,1762010.496,1362364.36,2099257,1308013,,
1093,0.11164116,1762022.573,1362606.044,2117008,1332083,,
1094,0.11159743,1759994.592,1361174.809,2139405,1358372,,
1095,0.11155695,1756486.671,1358588.414,2158646,1381702,,
1096,0.11148501,1752822.129,1355978.606,2176952,1403796,,
1097,0.11138233,1749633.98,1353832.319,2195450,1425398,,
1098,0.11129533,1746670.222,1351809.791,2213231,1445582,,
1099,0.11126249,1743673.603,1349592.646,2229324,1464773,,
1100,0.11125443,1740707.547,1347321.929,2230910,1474077,,
1101,0.11121658,1737954.48,1345308.286,2255560,1498482,,
1102,0.11113374,1735496.671,1343662.016,2273387,1518470,,
1103,0.11105386,1733257.068,1342174.922,2272135,1525751,,
1104,0.11102315,1731113.758,1340610.017,2295929,1550086,,
1105,0.11103092,1728712.554,1338726.519,2307688,1566571,,
1106,0.11104044,1725597.704,1336285.05,2318464,1582473,,
1107,0.11103012,1721791.347,1333369.133,2329189,1598488,,
1108,0.11100697,1718202.796,1330661.073,2327316,1606482,,
1109,0.11098095,1715699.861,1328802.277,2344570,1627290,,
1110,0.11095974,1713937.28,1327502.019,2359142,1646311,,
