Batch Number,B2600087,,,,,,
Category,Poultry,,,,,,
Specie,Chicken,,,,,,
Family,Layer Baladi,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PPES250101,,,,,,
Product name,CHICKEN FEED - BALADI STARTER,,,,,,
NIR-Code,D20260214-00105,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2238,2272,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5635,5589,,,,,
Lamp PD:,94,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1055,0.0599678,1899284.168,1654330.006,1855295,813384,,
1056,0.05980821,1896676.801,1652666.104,1875529,823056,,
1057,0.0596405,1894584,1651480.18,1886174,828817,,
1058,0.05946618,1892594.916,1650408.627,1894474,834094,,
1059,0.05929866,1889140.191,1648031.571,1903396,840054,,
1060,0.05915027,1882783.541,1643047.507,1900751,841066,,
1061,0.05901253,1874995.939,1636770.536,1914440,849877,,
1062,0.05886395,1869151.585,1632227.05,1925828,858105,,
1063,0.05869078,1867445.41,1631387.517,1924016,861046,,
1064,0.05850574,1867626.255,1632240.822,1941855,873606,,
1065,0.05832617,1866470.727,1631905.543,1947285,881073,,
1066,0.05815471,1862537.545,1629109.679,1951717,889044,,
1067,0.05797633,1856679.031,1624652.579,1956794,898248,,
1068,0.05777793,1849949.596,1619503.79,1962958,909067,,
1069,0.05756945,1843798.954,1614894.336,1965464,919165,,
1070,0.05737228,1839858.157,1612174.568,1970965,932015,,
1071,0.05719822,1838688.296,1611795.325,1973657,944906,,
1072,0.0570339,1838271.357,1612039.649,1975236,958264,,
1073,0.0568622,1836321.305,1610966.36,1977831,973451,,
1074,0.05667945,1832469.54,1608263.902,1979584,989739,,
1075,0.05649399,1827954.586,1604986.614,1980892,1007157,,
1076,0.05631395,1823864.75,1602059.648,1969206,1019043,,
1077,0.05614289,1820410.204,1599655.159,1980001,1043421,,
1078,0.05598293,1817546.706,1597727.279,1984449,1065999,,
1079,0.05583097,1814630.734,1595722.235,1972487,1080432,,
1080,0.0556764,1810190.405,1592384.2,1983306,1107724,,
1081,0.05550989,1803106.409,1586760.816,1984505,1130475,,
1082,0.05534018,1795408.639,1580604.202,1984982,1153023,,
1083,0.05518556,1790565.388,1576901.706,1987896,1177351,,
1084,0.05505553,1789993.496,1576870.122,1981148,1195519,,
